year,stateabbrev,income,margin_error,fare
2007,NV,55062,936,152.073695205571
2007,FL,47804,341,153.477706974332
2007,WI,50578,364,174.779048516023
2007,CA,59948,295,177.753566840956
2007,VT,49907,1176,136.340835949765
2007,TN,42367,345,171.063749314881
2007,MO,45114,489,161.202407718434
2007,OR,48730,681,173.175265354269
2007,NC,44670,432,179.557211414307
2007,TX,47548,308,174.65559222954
2007,NH,62369,1147,93.2
2007,UT,55109,762,176.35816633328
2007,SD,43424,944,129.318685503686
2007,OH,46597,304,183.416267516467
2007,MI,47950,386,165.859029514689
2007,NE,47085,689,160.476930335948
2007,NY,53514,349,186.937203544957
2007,KS,47451,640,159.019373948166
2007,LA,40926,457,171.178073405118
2007,MA,62365,510,188.0153876085
2007,NM,41452,677,164.612730541171
2007,MT,43531,1028,135.146049926579
2007,ME,45888,710,157.991747171453
2007,AR,38134,739,168.108135860979
2006,OR,46230,503,170.967282652004
2006,CT,63422,824,180.160859869308
2006,MN,54023,445,198.148819793286
2006,IL,52006,274,158.069806967575
2006,NE,45474,579,165.839452054795
2006,OK,38770,649,166.880285901762
2006,NY,51384,255,185.680194136592
2006,NM,40629,714,167.029432958782
2006,VA,56277,458,173.763772393317
2006,DC,51847,1221,178.058025284184
2006,IA,44491,523,193.259593864134
2006,TN,40315,425,174.520854179305
2006,ME,43439,773,170.410574191599
2006,NJ,64470,658,127.184179791976
2006,MT,40627,705,133.49
2006,FL,45495,247,151.802463763796
2006,NC,42625,440,183.347331783614
2006,ID,42865,877,126.538298293207
2006,MI,47182,318,173.094136729125
2006,IN,45394,421,166.006115493547
2006,MA,59963,623,180.441865030539
2006,SD,42791,983,136.489969230769
2006,TX,44922,287,176.906252093356
2006,AZ,47265,439,156.626455269352
2006,AR,36599,491,183.525949179264
2006,CO,52015,491,172.90367006419
2006,MO,42841,449,163.176357368968
2006,AL,38783,512,185.785730136715
2006,WI,48772,440,174.169647110333
2006,UT,51309,573,172.082295631165
2006,LA,39337,603,160.298194405982
2006,GA,46832,401,189.021195000457
2006,MS,34473,614,152.245259497965
2006,ND,41919,1000,150.356
2006,WA,52583,479,181.009709203932
2006,SC,41100,431,188.026765714286
2006,KY,39372,535,173.683974888662
2006,NV,52998,1049,151.155431556445
2006,VT,47665,1270,132.751530550514
2006,CA,56645,236,176.990456045288
2006,OH,44532,352,184.948433365708
2006,KS,45478,506,159.053235840297
2006,PA,46259,290,167.548444270001
